,iteration,score,avgScore,power,avgPower,data,avgData,quality,avg_quality,rebufferPen,numrebuffer,smoothPen,numSmooth,powerPen,avgPowerPen,epsilon
806,1000,-120.78900102326018,-294.6537162853027,116074.58058381832,120834.70768153101,33842638,33474675.613861386,152.95633243749998,154.38835154429663,0.0,1,82.13003334375,44,-83.26610053956172,-91.26112470442982,1
807,1000,-120.78900102326018,-294.1592976062486,119753.21510825162,120843.49528402014,37381482,33517624.544554457,172.0294089427084,154.65417582147276,0.0,1,60.97941276562501,44,-86.9304940664605,-91.2476376602299,1
808,1000,-120.78900102326018,-295.25423618619897,121538.19647688697,120889.7703250418,36274034,33544358.118811883,148.48283750520832,154.65942001072608,0.0,3,107.76642934895833,44,-95.91963339203485,-91.37332212286678,1
809,1000,-120.78900102326018,-291.9766765994518,119412.53844915327,120802.903881502,39334034,33521636.207920793,168.39017236979163,154.65058935947812,0.0,1,67.64697108854169,44,-85.64094654955787,-91.1442439426694,1
810,1000,-120.78900102326018,-291.9951516574868,116116.38380357107,120803.92134292702,30724060,33491248.584158417,157.81391051562503,154.6666795951423,0.0,1,72.44772292708332,44,-78.59981900649792,-91.11916900880279,1
811,1000,-120.78900102326018,-301.14610969389537,118740.49300440996,120810.46226392857,24323450,33413154.386138614,126.21951221874997,154.4353419799917,16.992331481089487,28,88.20925072916668,43,-88.42597683886882,-91.16328352698658,1
812,1000,-120.78900102326018,-315.343745081211,134285.50951568325,120940.2564738829,37877303,33446701.77227723,166.38100661458333,154.5574726488758,100.49522017549816,38,65.65470564583333,44,-118.05775870531278,-91.42225187226855,1
813,1000,-120.78900102326018,-314.54914434327816,117444.57350956713,120928.77953390212,36634668,33470778.722772278,163.95572376041676,154.6852062479373,0.0,1,68.19371635937499,44,-78.7956244537706,-91.32616759796353,1
814,1000,-120.78900102326018,-324.2434315438738,129811.32104387702,121065.91108473548,38864612,33554553.15841584,168.481155921875,154.9450615342409,124.67739700783194,30,61.26838948437502,44,-109.61532549634708,-91.59127660749179,1
815,1000,-120.78900102326018,-327.03497214384464,126351.44550536406,121153.05677029728,40868780,33634035.32673267,164.91816369791667,154.93847679940183,0.0,8,72.87468415104166,44,-100.69866094173557,-91.78788782783649,1
816,1000,-120.78900102326018,-327.30399349388745,116422.77726704821,121113.54572448594,30963131,33582055.51485149,147.431732015625,154.93433408395217,0.0,1,89.79527081770837,44,-83.16222206959932,-91.69349255659687,1
817,1000,-120.78900102326018,-316.8493342671222,118295.80290848932,121057.83120393544,29144591,33595815.50495049,141.8838081458333,154.83025767620668,0.0,10,90.80085991666668,44,-86.07817455509309,-91.61325523503251,1
818,1000,-120.78900102326018,-298.74691271355107,120437.91368183,120935.35118876104,35499206,33602091.00990099,160.35277823958333,154.791429866646,0.0,1,75.55349340625001,44,-88.24500959824476,-91.33165968594153,1
819,1000,-120.78900102326018,-308.34940243218404,131227.5710932384,120995.68579442921,37492343,33612179.1980198,164.62381705208333,154.90574583730404,25.26079452651435,33,82.71625323958332,44,-112.9095897217553,-91.42497732907584,1
820,1000,-120.78900102326018,-319.47591832072504,131214.503887365,121081.03152195663,33410056,33616656.316831686,155.39154742708328,154.93638497153464,0.0,37,64.94780584375,44,-110.66137417170876,-91.59405166945885,1
821,1000,-120.78900102326018,-330.51240253801177,125825.60063577209,121198.06083264359,32176290,33626619.71287129,150.69052501562498,154.93252480589933,33.068410692286925,26,66.40233108854169,43,-103.55413068643988,-91.87528859632476,1
822,1000,-120.78900102326018,-329.8185629070348,115040.70248587857,121177.50143282901,32508353,33610817.297029704,155.94014132291667,154.92715869704003,0.0,1,72.16603027083332,44,-80.08016258443372,-91.84609122938944,1
823,1000,-120.78900102326018,-329.8337024804638,122779.74032941734,121204.60994632741,40110003,33656431.05940594,175.2252036875,155.11028788412747,0.0,1,57.107285140625024,44,-94.56916620031397,-91.88440328020086,1
824,1000,-120.78900102326018,-334.77009645387056,124183.71072321308,121212.28065750684,30325487,33621588.089108914,157.15539378125007,155.16924322859944,18.1011407634714,38,79.57767909895831,44,-96.58303597860255,-91.89998415094198,1
825,1000,-120.78900102326018,-320.97272895800774,117670.58632652381,121126.1324922136,32647471,33653409.74257426,152.35338548437505,155.08030764593647,0.0,1,73.26684351041668,44,-84.69444146781797,-91.74122965089312,1
826,1000,-120.78900102326018,-321.1281021801664,110786.05565183332,121099.59371372662,26834627,33634436.92079208,147.435987796875,155.0055566876547,0.0,1,72.84061473437501,44,-68.37853580192608,-91.69945872815273,1
827,1000,-120.78900102326018,-320.3915162507408,119705.9046719704,121121.21127225533,36404582,33701825.574257426,156.42079648958335,155.02661297963078,0.0,1,77.41671238020832,44,-86.96158444302638,-91.75107458815863,1
828,1000,-120.78900102326018,-320.7796441946392,113883.76277367213,121116.91572052432,28357533,33710161.84158416,137.5610907291667,154.91681913727308,0.0,1,85.98156651562499,44,-75.31427650728452,-91.73333638246018,1
829,1000,-120.78900102326018,-321.3122382081478,117265.65893496107,121111.69105819291,32574931,33681472.683168314,145.02772021875006,154.7843556929662,0.0,2,90.496877984375,44,-83.25576662922414,-91.71356319063065,1
830,1000,-120.78900102326018,-325.857747693602,123305.01337619669,121186.79519066737,34185221,33682222.67326733,162.13271624479162,154.72550778403465,0.0,24,45.30108738020836,44,-94.99938094587895,-91.8811163822464,1
831,1000,-120.78900102326018,-335.82593599758286,131955.24683189532,121283.18325209651,36200612,33711015.603960395,162.18292756770836,154.83470165686882,48.6428141862182,36,72.01980280208335,44,-113.79856921096793,-92.10285969210807,1
832,1000,-120.78900102326018,-336.1012434989505,118982.76437815878,121278.41817480582,36638077,33710933.37623762,173.46959206250008,154.88986807951733,0.0,4,57.05305082291669,44,-84.32256416810318,-92.08609460888047,1
833,1000,-120.78900102326018,-335.9152551242614,118211.51253835333,121272.68799063862,39064906,33748302.67326733,174.26179499999998,155.0257322731539,0.0,1,57.44326358854169,44,-80.73843332883428,-92.03797604199355,1
834,1000,-120.78900102326018,-335.3000738549698,120258.06365250722,121317.48771998633,36590436,33813595.0,174.07996950000006,155.35956356739894,0.0,1,57.183425468749995,44,-86.49621373465476,-92.1328580149665,1
835,1000,-120.78900102326018,-336.1112983559641,117207.17072483506,121303.07054703994,29363078,33774013.96039604,150.50171474999996,155.38262811478964,3.4887209329390503,4,59.759257380208346,44,-82.34872778531381,-92.08481185866951,1
836,1000,-120.78900102326018,-340.4124666633887,121769.53267755413,121391.23757261709,31658258,33789629.089108914,155.00098291666666,155.46093610983914,28.43732259217537,18,81.67745211458336,44,-89.3828276387892,-92.22360121883692,1
837,1000,-120.78900102326018,-330.6400265300855,117609.37146138508,121296.86744451233,32955023,33781879.12871287,146.17477861979162,155.4063492661407,0.0,2,82.47988342708334,42,-86.19408942892582,-92.01190896174275,1
838,1000,-120.78900102326018,-330.5456811435223,116953.13251265632,121257.04129977574,31440047,33747180.84158416,140.44595759895833,155.21182778676777,0.0,1,84.96291569791661,44,-84.13408145370629,-91.9552156775267,1
839,1000,-120.78900102326018,-316.0334780679766,117707.7214800319,121174.38041253289,34677575,33791013.66336634,167.8826213958334,155.43427368899546,0.0,2,51.478467765625,44,-81.90273921345451,-91.67423124582093,1
